Suiza,CHE,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,373919964",,,,"2,25880003",,,,"2,597769976",,,,,
Islas del Canal,CHI,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chile,CHL,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3520199955","0,3664700091",,
China,CHN,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5632399917","0,6387299895","0,6468899846","0,7496299744","0,8931599855","0,9403300285","1,057860017","1,12037003","1,214980006","1,307919979","1,664800048","2,140579939","2,400929928",
Côte d'Ivoire,CIV,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Camerún,CMR,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Congo, República Democrática del",COD,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2677699924","0,05798999965","0,07822000235",,,
"Congo, República del",COG,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colombia,COL,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2992300093","0,2736600041",,,"0,1310600042","0,1328999996","0,1555899978","0,1739799976","0,1696400046","0,1655700058","0,1935099959","0,3123300076","0,2881200016",
Comoras,COM,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cabo Verde,CPV,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Costa Rica,CRI,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3022100031","0,2956900001","0,265260011","0,3675900102","0,4113500118",,,"0,3619000018","0,3728800118",,"0,5171800256","0,3714399934",,
Estados pequeos del Caribe,CSS,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cuba,CUB,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,3473599851","0,4017199874","0,501240015","0,4583199918","0,4786500037","0,5652999878","0,5644500256","0,5824300051","0,6023100019","0,5491999984","0,6148499846","0,5369099975","0,5183799863",
Curacao,CUW,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Islas Caimán,CYM,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chipre,CYP,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2033099979","0,2180600017","0,2268999964","0,2369399965","0,2796700001","0,3183400035","0,3356400132","0,3672699928","0,4443700016","0,6158300042","0,8223400116",
República Checa,CZE,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,8891199827","0,9881899953","1,060220003","1,049569964","1,109969974","1,098709941","1,09818995","1,142099977","1,139350057","1,161000013","1,286560059","1,899449944","1,991039991",
Alemania,DEU,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,144609928","2,188319921","2,216130018","2,347790003","2,40982008","2,40437007","2,436219931","2,47461009","2,435189962","2,441930056","2,742660046","3,107880116","3,14425993",
Djibouti,DJI,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dominica,DMA,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dinamarca,DNK,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,80666995","1,88914001","2,006190062","2,127640009","2,186199903","2,324660063","2,441450119","2,510849953","2,419159889","2,393369913","3,055140018","2,966029882","2,961539984",
República Dominicana,DOM,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Argelia,DZA,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,230279997","0,3664000034","0,1962299943","0,1635700017","0,06604000181",,,,
Asia oriental y el Pacífico (excluido altos ingresos),EAP,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,4619412457","0,5633279483","0,6276404847","0,6941670368","0,7285966009","0,797672089","0,9094823077","1,003772291","1,105053743","1,177064768","1,400170817","1,91216224","2,246080944",
inicial del dividendo demográfico,EAR,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,6061863457","0,620599795","0,6399408354","0,6140281196","0,6228734442","0,612904988","0,6198941365","0,7198102341",,
Asia oriental y el Pacífico,EAS,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2,185563636","2,26092236","2,229461108","2,29947906","2,234789916","2,280463467","2,246594134","2,329189105","2,31492983","2,396890273","2,24867167","2,355693664","2,632895473",
Europa y Asia central (excluido altos ingresos),ECA,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,7948728335","0,8468151003","0,6599515378","0,6892088239","0,7189494682","0,8427750056","0,8707736536","0,8627638709","0,8162724553","0,8056371481","0,9641789786","0,8633649593","0,9215504608",
Europa y Asia central,ECS,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,651734368","1,636310216","1,604652881","1,697535451","1,682436689","1,7190911","1,695218497","1,719280528","1,694712121","1,649303528","1,810670531","1,941479839","2,107326359",
Ecuador,ECU,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,07406000048","0,06262999773","0,06516999751",,,"0,05150000006","0,0553399995","0,0573499985",,,"0,3946300149",,,
"Egipto, República Árabe de",EGY,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,2125999928","0,1975599974","0,1991000026","0,1865099967","0,1924699992",,,,"0,2699399889","0,2414100021","0,4331200123","0,723879993","0,9621800184",
Zona del Euro,EMU,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,740014604","1,71382438","1,741036209","1,767006678","1,809226666","1,797831718","1,839630096","1,806554235","1,784125066","1,781127054","1,988865252","2,216512755","2,359134139",
Eritrea,ERI,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
España,ESP,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,787530005","0,7778099775","0,8480399847","0,8385400176","0,8827599883","0,8883299828","0,9597100019","1,02373004","1,040889978","1,099560022","1,363639951","1,242130041","1,405410051",
Estonia,EST,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,5650100112","0,6770799756","0,6000000238","0,698390007","0,7120299935","0,7646499872","0,8458399773","0,917050004","1,396790028","1,416239977","1,792469978",
Etiopía,ETH,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,1791699976",,,,
Unión Europea,EUU,Gasto en investigación y desarrollo (% del PIB),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"1,698587892","1,730817523","1,699582089","1,783872062","1,762910023","1,821451363","1,789760164","1,825468256","1,793616436","1,781798314","1,968181807","2,18561945","2,321349376",
